date,campaign_name,spend,impressions,clicks
2023-09-04,youtube_brand,3073.5803540587676,197652,4433
2023-09-05,youtube_brand,7331.849574089804,549768,8359
2023-09-06,youtube_brand,5074.557547223422,236243,2644
2023-09-07,youtube_brand,3972.7081051081373,184432,1889
2023-09-08,youtube_brand,3789.8311086211042,249927,7112
2023-09-09,youtube_brand,5541.675312987193,260801,9068
2023-09-10,youtube_brand,3834.7479979115765,253715,7467
2023-09-11,youtube_brand,3851.8399212927993,267014,2831
2023-09-12,youtube_brand,3095.1112710686402,183680,2035
2023-09-13,youtube_brand,3446.8526865535473,239524,4871
2023-09-14,youtube_brand,4633.67964580935,299967,3825
2023-09-15,youtube_brand,4007.9228078136175,217802,5701
2023-09-16,youtube_brand,2873.779228665695,185893,5414
2023-09-17,youtube_brand,5447.794438796348,405237,8878
2023-09-18,youtube_brand,2270.476157679677,140437,4029
2023-09-19,youtube_brand,6258.109803267252,421677,4647
2023-09-20,youtube_brand,3625.7541268461737,165041,5703
2023-09-21,youtube_brand,5235.536249416071,367058,11555
2023-09-22,youtube_brand,8081.8460902494535,561418,10020
2023-09-23,youtube_brand,3112.1983898318185,215829,6794
2023-09-24,youtube_brand,3143.729182709555,154690,5334
2023-09-25,youtube_brand,3459.2240224065977,166325,5656
2023-09-26,youtube_brand,3744.864170505849,172010,4948
2023-09-27,youtube_brand,2134.447516779646,134936,3109
2023-09-28,youtube_brand,3321.2481792720973,160502,2439
2023-09-29,youtube_brand,5315.162574030568,358868,5641
2023-09-30,youtube_brand,2319.828340033972,171521,1876
2023-10-01,youtube_brand,5106.655196971271,356875,11607
2023-10-02,youtube_brand,2162.0091704677284,130136,4433
2023-10-03,youtube_brand,3110.571298755165,147714,4827
2023-10-04,youtube_brand,3606.0454607011216,180945,2368
2023-10-05,youtube_brand,4696.971949258818,217296,3436
2023-10-06,youtube_brand,4149.736780059504,310913,4744
2023-10-07,youtube_brand,3198.492456262005,178877,2058
2023-10-08,youtube_brand,3616.8228844956593,248739,4968
2023-10-09,youtube_brand,5572.135160167121,283017,3359
