date,campaign_name,spend,impressions,clicks
2023-09-04,tv_brand,4166.101302950839,305030,3317
2023-09-05,tv_brand,4160.73898272164,259700,6959
2023-09-06,tv_brand,6397.027944475995,345246,11932
2023-09-07,tv_brand,5369.760447256283,400798,6299
2023-09-08,tv_brand,4828.781100020728,308423,5287
2023-09-09,tv_brand,3791.2206689706295,175633,5736
2023-09-10,tv_brand,3160.9295536038894,187160,3851
2023-09-11,tv_brand,4216.408470029422,256845,4433
2023-09-12,tv_brand,4199.297077666658,304618,6077
2023-09-13,tv_brand,4604.807126963709,296502,9198
2023-09-14,tv_brand,3879.5445717297143,210401,6517
2023-09-15,tv_brand,3113.3422901443287,217301,5114
2023-09-16,tv_brand,5062.74929657115,317527,10096
2023-09-17,tv_brand,4270.3011668950185,266832,2863
2023-09-18,tv_brand,5704.234676064718,265094,4058
2023-09-19,tv_brand,3761.668493851164,187202,3452
2023-09-20,tv_brand,2682.243887356199,134114,1429
2023-09-21,tv_brand,7835.122972286557,554738,16052
2023-09-22,tv_brand,5720.246170834927,265943,3011
2023-09-23,tv_brand,2769.1907879263085,157421,1805
2023-09-24,tv_brand,10814.573011680124,709213,9120
2023-09-25,tv_brand,2862.9638901852413,150197,2367
2023-09-26,tv_brand,6409.872415787055,458909,7898
2023-09-27,tv_brand,5641.684995833332,295157,9310
2023-09-28,tv_brand,4335.660023685135,210684,6644
2023-09-29,tv_brand,6380.937213607317,470966,13729
2023-09-30,tv_brand,3391.1471865252647,241048,4074
2023-10-01,tv_brand,4860.974274376647,303941,7968
2023-10-02,tv_brand,4685.623452569327,322911,5612
2023-10-03,tv_brand,5107.8466896871805,275918,9113
2023-10-04,tv_brand,3027.802558435982,150608,2448
2023-10-05,tv_brand,5384.166756016999,300500,9359
2023-10-06,tv_brand,6899.781557139249,337569,4570
2023-10-07,tv_brand,6185.22994519199,416611,13351
2023-10-08,tv_brand,6579.709040959277,431650,11009
2023-10-09,tv_brand,3001.7584296355208,203798,3631
2023-10-10,tv_brand,3733.8518994869487,227241,5738
2023-10-11,tv_brand,3223.1786481349254,211748,2393
2023-10-12,tv_brand,4459.631955919598,330441,8734
2023-10-13,tv_brand,2443.900359264199,144010,3567
2023-10-14,tv_brand,2637.3272026325844,135811,2809
2023-10-15,tv_brand,3226.4715049262213,240973,8418
2023-10-16,tv_brand,1213.7060975195998,82189,2034
2023-10-17,tv_brand,2547.884412395648,122224,2003
2023-10-18,tv_brand,1549.193125956957,78629,1527
2023-10-19,tv_brand,1816.8688082639749,118256,2011
2023-10-20,tv_brand,1568.1338573027049,112988,3545
2023-10-21,tv_brand,1478.8223638469465,107773,3084
2023-10-22,tv_brand,2012.3113347141693,113238,3614
2023-10-23,tv_brand,1815.548251396885,115177,2682
2023-10-24,tv_brand,1776.7870331820327,85021,1185
2023-10-25,tv_brand,2889.07293622329,174987,2618
2023-10-26,tv_brand,1243.6492362510935,78418,2088
2023-10-27,tv_brand,2403.5771965893696,143827,2799
2023-10-28,tv_brand,2816.868482282428,154101,4592
2023-10-29,tv_brand,3043.7568640749014,212223,4927
2023-10-30,tv_brand,5290.8899509024095,329124,6000
2023-10-31,tv_brand,3353.82714703597,177275,2802
2023-11-01,tv_brand,4146.326250410984,253196,4713
2023-11-02,tv_brand,2708.5650997661314,144704,4803
2023-11-03,tv_brand,1841.1212510218463,127744,2015
2023-11-04,tv_brand,2114.0347545674226,139136,2150
2023-11-05,tv_brand,2742.4355462952353,171898,2369
2023-11-06,tv_brand,4033.5745104478005,222374,7500
2023-11-07,tv_brand,4656.902101684535,243472,5879
2023-11-08,tv_brand,2753.445591755194,195536,4860
2023-11-09,tv_brand,2710.961677040439,161712,2233
2023-11-10,tv_brand,4460.347655889055,203629,5498
2023-11-11,tv_brand,5122.562936135666,345005,11444
2023-11-12,tv_brand,6293.665527047307,422798,12725
2023-11-13,tv_brand,4356.950382669364,300398,8755
2023-11-14,tv_brand,4665.937322415633,225664,5138
2023-11-15,tv_brand,4309.866174332153,322962,3708
2023-11-16,tv_brand,4211.255543170395,291230,4643
2023-11-17,tv_brand,4991.937633882107,320387,3659
