date,campaign_name,spend,impressions,clicks
2023-09-04,google_ads_brand,7090.061049913839,418228,5592
2023-09-05,google_ads_brand,12166.585442093163,589745,11441
2023-09-06,google_ads_brand,11621.04869015858,787394,12934
2023-09-07,google_ads_brand,10688.455596500475,526700,15949
2023-09-08,google_ads_brand,6849.663737506973,333037,8798
2023-09-09,google_ads_brand,5495.568043046522,379958,7415
2023-09-10,google_ads_brand,7756.107440780444,352799,11002
2023-09-11,google_ads_brand,8396.37159110831,596323,16071
2023-09-12,google_ads_brand,6743.064043175901,484186,6103
2023-09-13,google_ads_brand,6068.430232318833,351540,4434
2023-09-14,google_ads_brand,11220.702114109092,791788,15346
2023-09-15,google_ads_brand,10613.735945759761,557566,18571
2023-09-16,google_ads_brand,17330.369840734926,1080919,14942
2023-09-17,google_ads_brand,17184.916232793177,1076620,23667
2023-09-18,google_ads_brand,6048.188735779415,353896,4652
2023-09-19,google_ads_brand,12429.289765443022,711507,24176
2023-09-20,google_ads_brand,10032.790331123188,479342,15669
2023-09-21,google_ads_brand,10414.718964154941,715031,13259
2023-09-22,google_ads_brand,17271.57819322508,1039997,14261
2023-09-23,google_ads_brand,8773.541829411524,597606,8557
2023-09-24,google_ads_brand,6522.882180862835,383257,8174
2023-09-25,google_ads_brand,3265.6520371152073,196502,4694
2023-09-26,google_ads_brand,3709.2093618013237,213610,4780
2023-09-27,google_ads_brand,12712.428664615476,895788,10949
2023-09-28,google_ads_brand,9111.015608269603,677154,18740
2023-09-29,google_ads_brand,9201.252854110911,416049,9040
2023-09-30,google_ads_brand,12563.703638054929,828283,25406
2023-10-01,google_ads_brand,4923.2678360325535,247934,7124
2023-10-02,google_ads_brand,12790.494649821767,954635,26071
2023-10-03,google_ads_brand,7039.438736734621,395145,7782
2023-10-04,google_ads_brand,6161.7720496325865,366827,9948
2023-10-05,google_ads_brand,6450.604603222067,327573,6180
2023-10-06,google_ads_brand,11298.632091580532,813840,9910
2023-10-07,google_ads_brand,10752.758271292425,587535,20431
2023-10-08,google_ads_brand,5627.6195977160005,318804,5243
2023-10-09,google_ads_brand,7142.029234254522,401135,13061
2023-10-10,google_ads_brand,5171.801327566127,264441,6964
2023-10-11,google_ads_brand,9482.574509847138,662368,9069
2023-10-12,google_ads_brand,8150.350823445671,370794,12790
2023-10-13,google_ads_brand,6778.631069864012,326852,10181
2023-10-14,google_ads_brand,9636.100932657579,607714,15379
2023-10-15,google_ads_brand,4548.43210236496,284605,3968
2023-10-16,google_ads_brand,4870.181215098297,233951,6707
2023-10-17,google_ads_brand,7529.582484883321,416248,10572
2023-10-18,google_ads_brand,5537.548675148326,264761,4267
2023-10-19,google_ads_brand,8540.136751024444,481717,12284
2023-10-20,google_ads_brand,9246.276771468472,646160,18479
2023-10-21,google_ads_brand,3037.5716344522248,184868,4241
2023-10-22,google_ads_brand,9200.892467924916,563769,19361
2023-10-23,google_ads_brand,7590.16296770796,352658,6749
2023-10-24,google_ads_brand,6014.947421165015,376484,6715
2023-10-25,google_ads_brand,6732.598197693568,409171,5179
2023-10-26,google_ads_brand,12352.845836456561,892832,12450
2023-10-27,google_ads_brand,4263.920817944741,214753,3801
2023-10-28,google_ads_brand,5126.602586531756,363015,7190
2023-10-29,google_ads_brand,6606.6421725004,447484,14340
2023-10-30,google_ads_brand,3162.692226765362,235076,2382
2023-10-31,google_ads_brand,7809.792220986512,404197,10174
2023-11-01,google_ads_brand,6582.35840221022,329512,6471
2023-11-02,google_ads_brand,6872.387642444347,326221,6967
2023-11-03,google_ads_brand,9788.078865812655,476849,9496
