user_id,event_date,variant,channel,converted,revenue,ad_spend,clicked,impressions
100023,2026-06-01,treatment,Meta,0,0.0,1.35,0,1
100039,2026-06-01,control,Organic,0,0.0,0.0,0,1
100128,2026-06-01,treatment,Paid Search,1,110.54,2.2,0,1
100140,2026-06-01,control,Paid Search,1,88.96,2.2,0,1
100179,2026-06-01,treatment,Email,1,86.71,0.18,0,1
100186,2026-06-01,treatment,Meta,0,0.0,1.35,0,1
100232,2026-06-01,treatment,Paid Search,0,0.0,2.2,1,1
100410,2026-06-01,control,Email,0,0.0,0.18,1,1
100474,2026-06-01,control,Paid Search,0,0.0,2.2,1,1
100499,2026-06-01,control,Email,0,0.0,0.18,0,1
100501,2026-06-01,control,Email,1,78.29,0.18,1,1
100540,2026-06-01,treatment,Email,0,0.0,0.18,0,1
100583,2026-06-01,treatment,Email,0,0.0,0.18,0,1
100608,2026-06-01,treatment,Organic,0,0.0,0.0,1,1
100666,2026-06-01,treatment,Meta,1,84.92,1.35,0,1
100729,2026-06-01,treatment,Paid Search,0,0.0,2.2,0,1
100874,2026-06-01,treatment,Meta,0,0.0,1.35,0,1
100898,2026-06-01,control,Organic,0,0.0,0.0,0,1
100956,2026-06-01,control,Email,0,0.0,0.18,0,1
100978,2026-06-01,treatment,Organic,1,80.24,0.0,0,1
101094,2026-06-01,control,Email,0,0.0,0.18,0,1
101185,2026-06-01,treatment,Email,0,0.0,0.18,0,1
101189,2026-06-01,control,Organic,0,0.0,0.0,0,1
101223,2026-06-01,treatment,Organic,0,0.0,0.0,0,1
101309,2026-06-01,control,Organic,0,0.0,0.0,1,1
101320,2026-06-01,control,Email,0,0.0,0.18,0,1
101491,2026-06-01,control,Organic,0,0.0,0.0,0,1
101543,2026-06-01,control,Meta,0,0.0,1.35,1,1
101556,2026-06-01,treatment,Meta,0,0.0,1.35,1,1
101617,2026-06-01,treatment,Paid Search,0,0.0,2.2,0,1
101635,2026-06-01,control,Meta,0,0.0,1.35,0,1
101803,2026-06-01,control,Meta,1,117.8,1.35,1,1
101901,2026-06-01,treatment,Paid Search,1,118.87,2.2,1,1
101939,2026-06-01,treatment,Organic,0,0.0,0.0,1,1
101952,2026-06-01,control,Organic,0,0.0,0.0,0,1
102067,2026-06-01,control,Paid Search,0,0.0,2.2,0,1
102096,2026-06-01,treatment,Organic,0,0.0,0.0,0,1
102127,2026-06-01,control,Paid Search,0,0.0,2.2,1,1
102168,2026-06-01,control,Organic,0,0.0,0.0,0,1
102184,2026-06-01,treatment,Email,0,0.0,0.18,1,1
102209,2026-06-01,control,Paid Search,0,0.0,2.2,1,1
102265,2026-06-01,treatment,Meta,0,0.0,1.35,1,1
102291,2026-06-01,control,Email,0,0.0,0.18,0,1
102328,2026-06-01,treatment,Organic,0,0.0,0.0,0,1
100016,2026-06-02,treatment,Paid Search,0,0.0,2.2,1,1
100222,2026-06-02,control,Meta,0,0.0,1.35,0,1
100248,2026-06-02,treatment,Meta,0,0.0,1.35,1,1
100312,2026-06-02,control,Meta,0,0.0,1.35,0,1
100340,2026-06-02,control,Meta,0,0.0,1.35,0,1
100362,2026-06-02,control,Email,0,0.0,0.18,1,1
100390,2026-06-02,control,Organic,0,0.0,0.0,1,1
100477,2026-06-02,control,Email,0,0.0,0.18,0,1
100549,2026-06-02,treatment,Paid Search,1,107.22,2.2,0,1
100707,2026-06-02,treatment,Organic,0,0.0,0.0,0,1
100714,2026-06-02,treatment,Email,0,0.0,0.18,1,1
100742,2026-06-02,control,Paid Search,0,0.0,2.2,0,1
100805,2026-06-02,control,Paid Search,0,0.0,2.2,0,1
100832,2026-06-02,control,Paid Search,0,0.0,2.2,1,1
100937,2026-06-02,treatment,Meta,0,0.0,1.35,0,1
101031,2026-06-02,control,Organic,0,0.0,0.0,0,1
101198,2026-06-02,treatment,Organic,0,0.0,0.0,1,1
101219,2026-06-02,treatment,Meta,0,0.0,1.35,0,1
101408,2026-06-02,treatment,Email,0,0.0,0.18,0,1
101516,2026-06-02,control,Meta,0,0.0,1.35,0,1
101517,2026-06-02,treatment,Meta,0,0.0,1.35,0,1
101576,2026-06-02,treatment,Meta,0,0.0,1.35,1,1
101583,2026-06-02,control,Organic,0,0.0,0.0,0,1
102119,2026-06-02,control,Email,0,0.0,0.18,0,1
